town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Wayne,Summer,120,120,725000,750000,4.19,27550,5.34,38013,23.3,59,
Wayne,Winter,114,114,662450,710556,3.67,21000,4.68,32915,24.6,70,
West Orange,Fall,84,84,650000,699500,5.55,30500,6.47,43409,26.2,76,
West Orange,Spring,230,228,643656,699500,8.84,54556,10.12,68671,15.8,58,
West Orange,Summer,96,96,637000,685000,6.88,45000,7.54,50842,22.9,62,
West Orange,Winter,112,112,612000,660000,7.19,40500,7.19,46963,22.3,64,
Westfield,Fall,61,61,1199000,1375000,7.01,75000,8.95,98563,23.0,66,
Westfield,Spring,185,185,1199000,1350000,9.8,111000,10.81,122068,15.7,56,
Westfield,Summer,91,91,1100000,1250000,3.45,31000,5.65,50977,28.6,54,
Westfield,Winter,71,71,1049000,1200000,5.6,62109,7.53,84871,25.4,55,
Woodbridge,Fall,7,7,519000,515000,0.2,1000,1.5,5421,42.9,76,yes
Woodbridge,Spring,22,22,467500,495000,5.55,30500,4.96,24127,13.6,56,
Woodbridge,Summer,8,8,528500,545000,3.36,20050,4.47,21288,12.5,58,yes
Woodbridge,Winter,14,14,462500,496142,1.9,9206,4.2,9842,42.9,59,
Woodland Park,Fall,51,51,599000,610000,2.0,10100,1.35,4275,39.2,88,
Woodland Park,Spring,77,77,599999,653000,4.79,27500,5.59,32013,23.4,58,
Woodland Park,Summer,40,40,550000,555000,1.32,10050,5.2,32888,32.5,55,
Woodland Park,Winter,41,41,569000,610000,3.49,16000,4.01,23147,31.7,69,
