town,season,sales_all,n,median_list_price,median_sold_price,median_sold_vs_ask_pct,median_sold_vs_ask_abs,mean_sold_vs_ask_pct,mean_sold_vs_ask_abs,pct_at_or_under_ask,median_dom,thin
Summit,Fall,114,114,1125000,1222500,7.9,70000,7.95,98729,26.3,54,
Summit,Spring,194,194,1312500,1500000,10.83,125776,11.58,158213,13.4,66,
Summit,Summer,164,163,1099000,1263000,7.18,61000,8.8,97413,28.2,60,
Summit,Winter,68,68,1300000,1315000,4.61,34500,6.82,82877,36.8,60,
Totowa,Fall,28,28,619000,647500,1.11,6075,2.61,11231,39.3,74,
Totowa,Spring,37,37,625000,660000,4.38,30000,3.73,21457,21.6,68,
Totowa,Summer,49,49,555000,599900,4.26,25100,4.35,22402,28.6,71,
Totowa,Winter,28,27,698800,715000,2.97,15700,3.08,9834,37.0,88,
Towaco,Fall,20,20,704950,738788,4.43,25000,3.99,30764,30.0,80,
Towaco,Spring,30,30,714450,736000,5.7,38600,6.72,70649,26.7,60,
Towaco,Summer,23,23,839000,950000,5.86,75000,6.14,55953,26.1,61,
Towaco,Winter,26,26,652000,645000,0.15,1000,1.34,19416,46.2,67,
Verona,Fall,71,70,599900,676000,5.5,29813,7.64,53915,30.0,62,
Verona,Spring,101,99,699000,816000,8.26,47500,10.96,83088,26.3,55,
Verona,Summer,123,122,634000,677500,5.68,28500,7.89,62404,27.0,61,
Verona,Winter,42,41,665000,700000,1.5,6000,6.65,49415,48.8,70,
Warren,Fall,91,91,1199000,1195000,0.0,-1,-1.01,-20736,65.9,74,
Warren,Spring,126,126,1250000,1300000,0.21,3000,2.22,28122,47.6,71,
Warren,Summer,146,145,1100000,1116000,0.0,0,1.17,-2193,55.2,69,
Warren,Winter,66,66,992000,1025000,-1.54,-11750,-0.05,-3759,63.6,82,
Watchung,Fall,34,34,908700,938000,-0.35,-3700,1.41,-2894,52.9,84,
Watchung,Spring,40,40,1129500,1042500,1.79,16550,2.53,27064,45.0,76,
Watchung,Summer,46,46,899000,918409,0.0,0,1.34,233,52.2,68,
Watchung,Winter,19,19,1299900,1465000,0.0,0,1.65,23235,57.9,74,
Wayne,Fall,257,257,649000,680000,4.43,26000,4.58,32957,29.6,66,
Wayne,Spring,286,285,675000,729900,5.88,37000,6.54,48128,17.9,64,
Wayne,Summer,335,334,679000,727500,4.78,31050,6.09,40367,20.7,64,
Wayne,Winter,173,173,675000,700000,3.1,19000,4.11,26972,28.3,70,
West Caldwell,Fall,13,13,699000,750000,10.19,58000,8.42,56255,15.4,52,
West Caldwell,Spring,8,8,712000,820000,15.18,112000,15.4,107001,0.0,66,yes
West Caldwell,Summer,13,13,699000,740000,5.87,41000,7.69,51593,23.1,58,
West Caldwell,Winter,6,6,584450,614500,2.42,12550,3.13,19050,50.0,88,yes
West Orange,Fall,222,222,599450,650000,6.38,32500,7.39,44321,23.4,63,
West Orange,Spring,317,314,627000,680000,9.2,53806,10.53,68558,14.3,61,
West Orange,Summer,285,285,610000,658000,7.41,40000,8.38,54508,22.1,60,
West Orange,Winter,170,170,599000,649998,6.85,40000,8.03,49852,24.1,64,
Westfield,Fall,142,142,1150000,1225162,4.41,36000,6.44,65812,29.6,62,
Westfield,Spring,278,277,1199000,1350000,9.3,101000,9.96,109477,19.9,62,
Westfield,Summer,235,235,1149000,1250000,4.5,50100,5.92,59374,27.2,56,
Westfield,Winter,105,105,1050000,1205000,4.25,51000,7.04,78285,28.6,56,
Woodbridge,Fall,17,17,475000,490000,3.08,15100,3.04,12535,23.5,76,
Woodbridge,Spring,23,23,485000,500000,5.54,30001,4.83,23513,13.0,57,
Woodbridge,Summer,24,24,444500,487500,5.6,21050,5.15,22656,16.7,64,
Woodbridge,Winter,17,17,429999,452284,4.84,15001,4.6,19929,29.4,54,
Woodland Park,Fall,81,81,589000,610000,2.27,11000,2.39,14424,37.0,79,
Woodland Park,Spring,107,107,585000,615000,5.21,29000,6.07,33870,21.5,65,
Woodland Park,Summer,101,101,589000,600000,3.41,15100,5.29,32275,25.7,62,
Woodland Park,Winter,59,59,569000,585000,3.49,16000,4.23,23689,33.9,65,
